Linear_Setpoint,Linear_Velocity,Robot_Pixel,Robot_Pixel_Setpoint,Angular_Velocity
0.22,-0.012919799999999999,276,320,0.468538
0.22,0.156095,291,320,0.272932
0.22,0.140673,276,320,0.37594
0.22,0.140673,276,320,0.37594
0.22,0.14871700000000002,296,320,0.31954899999999997
0.22,0.14849,298,320,0.32105300000000003
0.22,0.19830599999999998,330,320,0.07293229999999999
0.22,0.198104,329,320,0.0736842
0.22,0.176424,357,320,-0.164662
0.22,0.16908399999999998,358,320,-0.20075199999999999
0.22,0.2054050000000001,336,320,-0.047368400000000005
0.22,0.200548,321,320,0.0646617
0.22,0.21396700000000002,331,320,-0.018797
0.22,0.201793,335,320,-0.0601504
0.22,0.196508,336,320,-0.0796992
0.22,0.202632,318,320,0.057142899999999996
0.22,0.20982399999999998,329,320,-0.0323308
0.22,0.200755,332,320,-0.0639098
0.22,0.214202,321,320,0.018045099999999998
0.22,0.193775,334,320,-0.0902256
0.22,0.195327,332,320,-0.08421050000000001
0.22,0.207812,316,320,0.0390977
0.22,0.204974,327,320,-0.0488722
0.22,0.203477,327,320,-0.054135300000000004
0.22,0.19750299999999998,329,320,-0.0759398
0.22,0.20959899999999998,323,320,-0.0330827
0.22,0.21396700000000002,321,320,-0.018797
0.22,0.190185,306,320,0.10451099999999999
0.22,0.207371,315,320,0.0406015
0.22,0.213733,318,320,0.0195489
0.22,0.21349899999999997,323,320,-0.020300799999999997
0.22,0.188896,307,320,0.109774
0.22,0.218521,322,320,-0.00451128
0.22,0.2054050000000001,327,320,-0.047368400000000005
0.22,0.197103,330,320,-0.0774436
0.22,0.200755,312,320,0.0639098
0.22,0.218766,320,320,0.0037594
0.22,0.21586100000000005,322,320,-0.012782
0.22,0.2054050000000001,326,320,-0.047368400000000005
0.22,0.211416,323,320,-0.027067700000000004
0.22,0.213265,322,320,-0.021052599999999998
0.22,0.218033,320,320,-0.00601504
0.22,0.218033,320,320,-0.00601504
0.22,0.218033,320,320,-0.00601504
0.22,0.218033,320,320,-0.00601504
0.22,0.218033,320,320,-0.00601504
0.22,0.218033,320,320,-0.00601504
0.22,0.21925799999999998,319,320,0.00225564
0.22,0.21901199999999998,319,320,0.00300752
0.22,0.218521,320,320,-0.00451128
0.22,0.218521,320,320,-0.00451128
0.22,0.218521,320,320,-0.00451128
0.22,0.218521,320,320,-0.00451128
0.22,0.218766,319,320,0.0037594
0.22,0.218521,319,320,0.00451128
0.22,0.21634,321,320,-0.0112782
0.22,0.21349899999999997,322,320,-0.020300799999999997
