q_diag,r_diag,horizon,tolerance,dt_
0.85,0.3,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
1,1,0.0011816,2.04223e-07,0.785398,7.54953e-07
1,1,0.011637,2.11401e-07,0.785398,6.88802e-07
1,1,0.0174284,1.70614e-07,0.785398,1.00717e-06
1,1,0.0417136,-2.97634e-08,0.785398,1.13833e-06
1,1,0.0763648,-2.92388e-07,0.785398,1.3227e-06
1,1,0.105238,-3.81515e-07,0.785398,2.35559e-06
1,1,0.138754,-3.00759e-07,0.785398,1.95051e-06
1,1,0.176853,2.25563e-06,0.785398,0.000379932
1,1,0.239076,0.000614731,0.785398,0.0253963
1,1,0.329764,0.00654997,0.785398,0.115109
1,1,0.402872,0.0188812,0.785398,0.224506
1,1,0.478715,0.0418868,0.785398,0.370018
1,1,0.574882,0.0914759,0.785398,0.58292
1,1,0.618472,0.123643,0.785398,0.689345
1,1,0.695872,0.199406,0.785398,0.847032
1,1,0.730786,0.241008,0.785398,0.892344
1,1,0.7805,0.305602,0.785398,0.935389
1,1,0.827961,0.371918,0.785398,0.960298
1,1,0.874333,0.439037,0.785398,0.971774
1,1,0.918024,0.503871,0.785398,0.985483
1,1,0.943499,0.542698,0.785398,0.99533
1,1,0.976921,0.594937,0.785398,1.0062
1,1,0.996472,0.625925,0.785398,1.00995
1,1,1.02234,0.667348,0.785398,1.01575
1,1,1.03672,0.690655,0.785398,1.02036
1,1,1.05518,0.720994,0.785398,1.0284
1,1,1.07112,0.747693,0.785398,1.03702
1,1,1.0844,0.770389,0.785398,1.04634
1,1,1.09568,0.790114,0.785398,1.05632
1,1,1.10832,0.812796,0.785398,1.06946
1,1,1.11362,0.822546,0.785398,1.0762
1,1,1.11861,0.831888,0.785398,1.08312
1,1,1.12523,0.844496,0.785398,1.09308
1,1,1.13055,0.854895,0.785398,1.10314
1,1,1.13651,0.866879,0.785398,1.11598
1,1,1.14027,0.874663,0.785398,1.12526
1,1,1.14547,0.885737,0.785398,1.14019
1,1,1.14884,0.893183,0.785398,1.15151
1,1,1.15105,0.898207,0.785398,1.15977
1,1,1.15415,0.905423,0.785398,1.17232
1,1,1.15567,0.909078,0.785398,1.17883
1,1,1.15745,0.91343,0.785398,1.18637
1,1,1.15863,0.91635,0.785398,1.19092
1,1,1.16028,0.920524,0.785398,1.19585
1,1,1.16111,0.922617,0.785398,1.19637
1,1,1.16202,0.924949,0.785398,1.19363
1,1,1.16277,0.926809,0.785398,1.18552
1,1,1.16325,0.927986,0.785398,1.16792
1,1,1.16336,0.928253,0.785398,1.12383
1,1,1.16765,0.936928,0.785398,1.11297
1,1,1.16849,0.938622,0.785398,1.10879
1,1,1.13251,0.996794,0.785398,-3.03143
1,1,1.13538,0.99705,0.785398,-3.05765
1,1,1.13529,0.997036,0.785398,-3.03223
1,1,1.12738,0.995801,0.785398,-2.9418
1,1,1.11644,0.992947,0.785398,-2.82716
1,1,1.10249,0.987232,0.785398,-2.67426
1,1,1.09094,0.980297,0.785398,-2.51693
1,1,1.08358,0.97413,0.785398,-2.35821
1,1,1.07837,0.967862,0.785398,-2.14705
1,1,1.07737,0.966111,0.785398,-1.98751
1,1,1.0771,0.965362,0.785398,-1.82789
1,1,1.07741,0.967391,0.785398,-1.66833
1,1,1.07744,0.971293,0.785398,-1.50876
1,1,1.07669,0.976248,0.785398,-1.34921
1,1,1.07402,0.983896,0.785398,-1.13647
1,1,1.07062,0.989869,0.785398,-0.976915
1,1,1.06612,0.995466,0.785398,-0.817365
1,1,1.06068,1.00038,0.785398,-0.65782
1,1,1.05459,1.00433,0.785398,-0.498274
1,1,1.05011,1.00634,0.785398,-0.344855
1,1,1.04365,1.00817,0.785398,-0.214634
