q_diag,r_diag,horizon,tolerance,dt_
0.85,0.2,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
1,1,0.00126756,1.27542e-07,0.785398,1.09877e-06
1,1,0.0116184,-4.06682e-09,0.785398,1.11021e-06
1,1,0.03239,1.44442e-08,0.785398,1.43217e-06
1,1,0.063607,7.95498e-08,0.785398,1.89613e-06
1,1,0.121453,1.49107e-08,0.785398,2.24261e-06
1,1,0.176885,2.25218e-06,0.785398,0.000381271
1,1,0.283333,0.00249421,0.785398,0.062227
1,1,0.37811,0.0137694,0.785398,0.184024
1,1,0.453281,0.032804,0.785398,0.317495
1,1,0.551855,0.0771838,0.785398,0.529748
1,1,0.638916,0.14143,0.785398,0.742552
1,1,0.730059,0.241454,0.785398,0.892604
1,1,0.795677,0.328101,0.785398,0.943639
1,1,0.85843,0.416927,0.785398,0.965883
1,1,0.904511,0.48425,0.785398,0.974612
1,1,0.977209,0.593484,0.785398,0.993104
1,1,1.01385,0.650208,0.785398,1.00112
1,1,1.04449,0.698415,0.785398,1.0084
1,1,1.07624,0.749305,0.785398,1.01827
1,1,1.09791,0.784828,0.785398,1.02898
1,1,1.10983,0.804935,0.785398,1.0433
1,1,1.12234,0.826838,0.785398,1.06098
1,1,1.13254,0.845438,0.785398,1.07852
1,1,1.13842,0.856572,0.785398,1.09109
1,1,1.14484,0.869149,0.785398,1.10741
1,1,1.1488,0.877177,0.785398,1.11919
1,1,1.15231,0.884536,0.785398,1.13103
1,1,1.15689,0.894472,0.785398,1.14904
1,1,1.15913,0.899547,0.785398,1.15917
1,1,1.16222,0.906764,0.785398,1.17452
1,1,1.16423,0.911644,0.785398,1.18519
1,1,1.16591,0.915813,0.785398,1.19396
1,1,1.16731,0.919396,0.785398,1.2005
1,1,1.16793,0.920981,0.785398,1.20261
1,1,1.16876,0.923138,0.785398,1.20426
1,1,1.16965,0.925475,0.785398,1.20278
1,1,1.17047,0.927578,0.785398,1.19129
1,1,1.17081,0.928405,0.785398,1.16765
1,1,1.17491,0.937841,0.785398,1.16509
1,1,1.17679,0.942143,0.785398,1.14015
1,1,1.17579,0.940363,0.785398,1.05172
1,1,1.17133,0.933477,0.785398,0.951738
2,2,1.16496,0.925358,0.785398,0.866289
2,2,1.16289,0.922743,0.785398,0.748735
2,2,1.17773,0.934936,0.785398,0.641227
2,2,1.20918,0.955715,0.785398,0.533918
2,2,1.25904,0.981537,0.785398,0.426827
2,2,1.30581,1.00106,0.785398,0.3708
2,2,1.37664,1.02741,0.785398,0.35247
2,2,1.47632,1.06703,0.785398,0.419813
2,2,1.58307,1.12487,0.785398,0.587466
