q_diag,r_diag,horizon,tolerance,dt_
1,1,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
1,1,1.28533e-05,2.08791e-07,0.785398,3.26049e-07
1,1,0.00701559,2.22735e-07,0.785398,6.68374e-07
1,1,0.0243778,6.96174e-08,0.785398,1.02661e-06
1,1,0.0636524,-2.39083e-07,0.785398,1.25625e-06
1,1,0.105232,-5.01762e-07,0.785398,1.47949e-06
1,1,0.157257,-5.6771e-07,0.785398,1.99425e-06
1,1,0.215874,0.000497134,0.785398,0.0259637
1,1,0.321989,0.00997106,0.785398,0.166347
1,1,0.391734,0.0261216,0.785398,0.29314
1,1,0.464575,0.0542569,0.785398,0.446004
1,1,0.534807,0.0949844,0.785398,0.605739
1,1,0.616735,0.165079,0.785398,0.797563
1,1,0.669971,0.224468,0.785398,0.875329
1,1,0.716382,0.282777,0.785398,0.917783
1,1,0.757255,0.33768,0.785398,0.942305
1,1,0.781972,0.372097,0.785398,0.953489
1,1,0.826206,0.435566,0.785398,0.969885
1,1,0.855732,0.479068,0.785398,0.979135
1,1,0.890425,0.531246,0.785398,0.988911
1,1,0.913237,0.566165,0.785398,0.995462
1,1,0.927177,0.587757,0.785398,0.999664
1,1,0.952901,0.628155,0.785398,1.00815
1,1,0.974917,0.663355,0.785398,1.01613
1,1,0.984736,0.679278,0.785398,1.02029
1,1,0.993905,0.694276,0.785398,1.02408
1,1,1.0077,0.717105,0.785398,1.03034
1,1,1.0225,0.741978,0.785398,1.03815
1,1,1.03233,0.758767,0.785398,1.04378
1,1,1.0413,0.77428,0.785398,1.04953
1,1,1.05057,0.790523,0.785398,1.05534
1,1,1.05557,0.799379,0.785398,1.05938
1,1,1.06447,0.815391,0.785398,1.06718
1,1,1.07212,0.829385,0.785398,1.07482
1,1,1.07733,0.839081,0.785398,1.08052
1,1,1.08336,0.850478,0.785398,1.08796
1,1,1.0886,0.860559,0.785398,1.09513
1,1,1.09214,0.867469,0.785398,1.10033
1,1,1.09535,0.873819,0.785398,1.10545
1,1,1.09921,0.881577,0.785398,1.11218
1,1,1.10254,0.888355,0.785398,1.11842
1,1,1.1055,0.89451,0.785398,1.1245
1,1,1.10685,0.897341,0.785398,1.12744
1,1,1.1081,0.899982,0.785398,1.13017
1,1,1.1093,0.902518,0.785398,1.13284
1,1,1.11095,0.906054,0.785398,1.13656
1,1,1.11296,0.910417,0.785398,1.14102
1,1,1.11429,0.913326,0.785398,1.1437
1,1,1.11588,0.916834,0.785398,1.14642
1,1,1.11762,0.920702,0.785398,1.14814
1,1,1.11882,0.923363,0.785398,1.14763
1,1,1.11937,0.924589,0.785398,1.14674
1,1,1.12013,0.926263,0.785398,1.14428
1,1,1.1208,0.927735,0.785398,1.14039
1,1,1.12139,0.929024,0.785398,1.13519
1,1,1.12209,0.9305,0.785398,1.12482
