q_diag,r_diag,horizon,tolerance,dt_
1,0.1,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
1,1,0.00121673,1.65762e-07,0.785398,4.09353e-06
1,1,0.0173969,3.70688e-07,0.785398,4.41845e-06
1,1,0.0520779,2.76906e-07,0.785398,4.54555e-06
1,1,0.105252,3.09283e-07,0.785398,5.24902e-06
1,1,0.176865,2.76363e-06,0.785398,0.000383442
1,1,0.239065,0.000615721,0.785398,0.0253967
1,1,0.306297,0.00419319,0.785398,0.0866758
1,1,0.378103,0.0137689,0.785398,0.184029
1,1,0.503707,0.0523547,0.785398,0.423377
1,1,0.574872,0.0914867,0.785398,0.582925
1,1,0.638921,0.141426,0.785398,0.741354
1,1,0.711706,0.2214,0.785398,0.903563
1,1,0.77608,0.308905,0.785398,0.956151
1,1,0.822616,0.375903,0.785398,0.96995
1,1,0.883622,0.465967,0.785398,0.979838
1,1,0.928931,0.533823,0.785398,0.984027
1,1,0.97401,0.601834,0.785398,0.986705
1,1,1.01894,0.669947,0.785398,0.988632
1,1,1.07098,0.75201,0.785398,1.02467
1,1,1.11068,0.819928,0.785398,1.06056
1,1,1.13917,0.872934,0.785398,1.09657
1,1,1.15759,0.910329,0.785398,1.13258
1,1,1.1671,0.931476,0.785398,1.1686
1,1,1.17051,0.939725,0.785398,1.17585
1,1,1.17124,0.941468,0.785398,1.1047
1,1,1.16976,0.938754,0.785398,1.05016
1,1,1.16614,0.933081,0.785398,0.968089
1,1,1.15875,0.923421,0.785398,0.874621
2,2,1.15301,0.916938,0.785398,0.81187
2,2,1.15373,0.917588,0.785398,0.744032
2,2,1.16238,0.924973,0.785398,0.676434
2,2,1.17984,0.937989,0.785398,0.608775
2,2,1.19675,0.949213,0.785398,0.563674
2,2,1.2441,0.976102,0.785398,0.473469
2,2,1.29013,0.997957,0.785398,0.419542
2,2,1.32391,1.01264,0.785398,0.403612
2,2,1.37865,1.03602,0.785398,0.40985
2,2,1.45777,1.07299,0.785398,0.474381
2,2,1.51991,1.10831,0.785398,0.564912
2,2,1.582,1.15316,0.785398,0.691542
2,2,1.6404,1.20909,0.785398,0.828574
2,2,1.6929,1.27136,0.785398,0.900034
2,2,1.74264,1.33598,0.785398,0.926757
2,2,1.80695,1.42369,0.785398,0.94679
2,2,1.83861,1.46792,0.785398,0.951809
2,2,1.87008,1.51228,0.785398,0.95575
2,2,1.91702,1.57902,0.785398,0.959441
2,2,1.94821,1.62359,0.785398,0.961
2,2,1.99386,1.68983,0.785398,0.976035
2,2,2.03456,1.7504,0.785398,0.983372
2,2,2.06902,1.80263,0.785398,0.991946
2,2,2.0886,1.83276,0.785398,0.997472
2,2,2.11298,1.87085,0.785398,1.00579
2,2,2.13641,1.90824,0.785398,1.01689
2,2,2.14433,1.92112,0.785398,1.02244
2,2,2.14978,1.93009,0.785398,1.02799
2,2,2.15374,1.93671,0.785398,1.0322
2,2,2.15445,1.9379,0.785398,1.00822
2,2,2.15191,1.93414,0.785398,0.95374
2,2,2.14887,1.93007,0.785398,0.908476
3,3,2.14348,1.9236,-2.97644,0.847855
3,3,2.14281,1.92283,-2.97644,0.782603
3,3,2.14971,1.92919,-2.97644,0.717282
3,3,2.17219,1.947,-2.97644,0.630259
3,3,2.18966,1.95916,-2.97644,0.586743
3,3,2.22419,1.98049,-2.97644,0.52147
3,3,2.26923,2.0044,-2.97644,0.456194
3,3,2.30531,2.02113,-2.97644,0.412681
3,3,2.34634,2.03803,-2.97644,0.368936
3,3,2.41427,2.06107,-2.97644,0.279161
3,3,2.46356,2.07316,-2.97644,0.19914
3,3,2.54324,2.08333,-2.97644,0.0499037
3,3,2.59782,2.08316,-2.97644,-0.0565036
3,3,2.67774,2.07229,-2.97644,-0.216137
3,3,2.76591,2.04319,-2.97644,-0.428888
3,3,2.81626,2.01529,-2.97644,-0.588449
3,3,2.84243,1.9958,-2.97644,-0.69482
3,3,2.87837,1.95919,-2.97644,-0.907568
3,3,2.89303,1.93725,-2.97644,-1.06715
3,3,2.89974,1.92273,-2.97644,-1.22669
3,3,2.90135,1.91736,-2.97644,-1.38623
3,3,2.90112,1.91939,-2.97644,-1.49259
3,3,2.90129,1.93112,-2.97644,-1.65214
3,3,2.90498,1.95292,-2.97644,-1.81168
3,3,2.91536,1.98373,-2.97644,-1.97122
3,3,2.92082,1.9957,-2.97644,-2.02439
3,3,2.94451,2.03556,-2.97644,-2.18393
3,3,2.98088,2.07913,-2.97644,-2.34347
3,3,3.02862,2.12135,-2.97644,-2.47902
3,3,3.06319,2.14673,-2.97644,-2.53156
3,3,3.09929,2.1712,-2.97644,-2.55638
3,3,3.13728,2.19614,-2.97644,-2.56159
3,3,3.19612,2.23569,-2.97644,-2.52772
3,3,3.25043,2.27715,-2.97644,-2.44844
3,3,3.29823,2.32021,-2.97644,-2.37365
3,3,3.34087,2.36363,-2.97644,-2.32227
3,3,3.3781,2.4054,-2.97644,-2.27634
3,3,3.41009,2.44456,-2.97644,-2.23512
3,3,3.42859,2.46886,-2.97644,-2.20872
3,3,3.45952,2.51277,-2.97644,-2.16066
3,3,3.47937,2.54355,-2.97644,-2.12642
3,3,3.49617,2.57167,-2.97644,-2.09252
3,3,3.51079,2.59812,-2.97644,-2.05907
3,3,3.5237,2.62337,-2.97644,-2.02886
3,3,3.53481,2.64675,-2.97644,-2.00049
3,3,3.54133,2.6613,-2.97644,-1.98215
3,3,3.55002,2.68203,-2.97644,-1.95425
3,3,3.55775,2.70195,-2.97644,-1.92785
3,3,3.56009,2.70832,-2.97644,-1.91981
3,3,3.56449,2.72073,-2.97644,-1.90358
3,3,3.57044,2.73859,-2.97644,-1.88071
3,3,3.57403,2.75012,-2.97644,-1.86566
3,3,3.57733,2.76127,-2.97644,-1.85102
3,3,3.58035,2.77207,-2.97644,-1.83685
3,3,3.58438,2.78749,-2.97644,-1.81636
3,3,3.58681,2.79748,-2.97644,-1.80273
3,3,3.58905,2.80727,-2.97644,-1.78942
3,3,3.59109,2.81672,-2.97644,-1.77692
3,3,3.59467,2.83499,-2.97644,-1.75241
3,3,3.59692,2.84786,-2.97644,-1.73545
3,3,3.59824,2.85607,-2.97644,-1.72435
3,3,3.59944,2.86417,-2.97644,-1.71289
3,3,3.60102,2.87585,-2.97644,-1.69669
3,3,3.60235,2.88711,-2.97644,-1.68137
3,3,3.60312,2.8944,-2.97644,-1.67118
3,3,3.6038,2.90154,-2.97644,-1.66117
3,3,3.60439,2.90844,-2.97644,-1.6519
3,3,3.60514,2.91843,-2.97644,-1.6381
3,3,3.60572,2.9281,-2.97644,-1.62464
3,3,3.60603,2.93432,-2.97644,-1.61587
3,3,3.60627,2.9404,-2.97644,-1.60724
3,3,3.60661,2.95219,-2.97644,-1.59079
3,3,3.60669,2.95792,-2.97644,-1.58248
3,3,3.60674,2.96897,-2.97644,-1.56687
3,3,3.60669,2.97433,-2.97644,-1.55939
3,3,3.60656,2.98209,-2.97644,-1.54823
3,3,3.60635,2.9896,-2.97644,-1.53759
3,3,3.60607,2.99688,-2.97644,-1.52701
3,3,3.60584,3.0016,-2.97644,-1.52032
3,3,3.60559,3.00622,-2.97644,-1.51358
3,3,3.60518,3.01294,-2.97644,-1.50397
3,3,3.6047,3.01951,-2.97644,-1.49456
3,3,3.604,3.02796,-2.97644,-1.48226
3,3,3.60344,3.03401,-2.97644,-1.47343
3,3,3.60284,3.03988,-2.97644,-1.46495
3,3,3.60221,3.04554,-2.97644,-1.45678
3,3,3.60133,3.05287,-2.97644,-1.44579
3,3,3.60064,3.05817,-2.97644,-1.43818
3,3,3.59994,3.06332,-2.97644,-1.43066
3,3,3.59922,3.06828,-2.97644,-1.42347
3,3,3.59849,3.07308,-2.97644,-1.4165
3,3,3.598,3.07618,-2.97644,-1.41203
3,3,3.59701,3.08219,-2.97644,-1.4032
3,3,3.59626,3.08654,-2.97644,-1.39696
3,3,3.59551,3.09071,-2.97644,-1.3911
3,3,3.59501,3.09343,-2.97644,-1.38717
3,3,3.59427,3.09734,-2.97644,-1.38173
3,3,3.59355,3.10108,-2.97644,-1.37664
3,3,3.59283,3.10466,-2.97644,-1.37193
3,3,3.59214,3.10807,-2.97644,-1.36766
3,3,3.59148,3.11125,-2.97644,-1.36421
3,3,3.59085,3.11419,-2.97644,-1.362
3,3,3.59033,3.11667,-2.97644,-1.36324
3,3,3.58637,3.13468,-2.97644,-1.34401
3,3,3.5836,3.14663,-2.97644,-1.35312
3,3,3.58174,3.15632,-2.97644,-1.4188
3,3,3.58159,3.1572,-2.97644,-1.49522
3,3,3.58184,3.15203,-2.97644,-1.5459
3,3,3.58158,3.13559,-2.97644,-1.62197
3,3,3.57919,3.10964,-2.97644,-1.70352
3,3,3.57306,3.07585,-2.97644,-1.79984
3,3,3.56119,3.03556,-2.97644,-1.9155
3,3,3.549,3.00576,-2.97644,-2.00372
3,3,3.52258,2.95837,-2.97644,-2.15472
3,3,3.48556,2.91107,-2.97644,-2.31443
3,3,3.4399,2.86872,-2.97644,-2.47396
3,3,3.38784,2.83399,-2.97644,-2.63351
3,3,3.33198,2.80843,-2.97644,-2.7924
3,3,3.29381,2.79653,-2.97644,-2.88379
3,3,3.23848,2.785,-2.97644,-2.98518
3,3,3.18919,2.77918,-2.97644,-3.0617
3,3,3.14633,2.7769,-2.97644,-3.11424
3,3,3.10952,2.77666,-2.97644,3.12576
3,3,3.08852,2.7773,-2.97644,3.09174
3,3,3.05815,2.78025,-2.97644,2.98714
3,3,3.0412,2.7836,-2.97644,2.89918
3,3,3.02676,2.78793,-2.97644,2.79631
3,3,3.00567,2.79748,-2.97644,2.6367
3,3,2.98525,2.81097,-2.97644,2.4772
3,3,2.96687,2.82787,-2.97644,2.31767
3,3,2.95151,2.84732,-2.97644,2.15815
