q_diag,r_diag,horizon,tolerance,dt_
0.1,1,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
0,0,6.16505e-05,2.06544e-07,0,5.76944e-06
1,1,0.00352745,3.20343e-07,0.785398,5.87552e-06
1,1,0.0102898,2.091e-05,0.785398,0.00892996
1,1,0.0247329,0.00043227,0.785398,0.0523691
1,1,0.0610522,0.00490369,0.785398,0.19725
1,1,0.091264,0.0128311,0.785398,0.315779
1,1,0.136204,0.031543,0.785398,0.464978
1,1,0.179598,0.0564268,0.785398,0.570737
1,1,0.210456,0.0776371,0.785398,0.634637
1,1,0.24902,0.107826,0.785398,0.690336
1,1,0.285028,0.138828,0.785398,0.729443
1,1,0.310607,0.162215,0.785398,0.751679
1,1,0.327864,0.178782,0.785398,0.776625
1,1,0.358952,0.209848,0.785398,0.792372
1,1,0.388259,0.239881,0.785398,0.80259
1,1,0.42309,0.276292,0.785398,0.812123
1,1,0.449374,0.304171,0.785398,0.817339
1,1,0.480599,0.337622,0.785398,0.82208
1,1,0.498421,0.356842,0.785398,0.824188
1,1,0.52127,0.381593,0.785398,0.826415
1,1,0.543244,0.405493,0.785398,0.828219
1,1,0.564161,0.428313,0.785398,0.829582
1,1,0.584185,0.450215,0.785398,0.830683
1,1,0.598645,0.466058,0.785398,0.831378
1,1,0.612693,0.481471,0.785398,0.831995
1,1,0.621825,0.4915,0.785398,0.832364
1,1,0.635228,0.506232,0.785398,0.832867
1,1,0.648203,0.520507,0.785398,0.833311
1,1,0.660763,0.534338,0.785398,0.833704
1,1,0.672793,0.547595,0.785398,0.834043
1,1,0.684443,0.560441,0.785398,0.834349
1,1,0.695726,0.572889,0.785398,0.83463
1,1,0.710333,0.589016,0.785398,0.834984
1,1,0.720801,0.60058,0.785398,0.835217
1,1,0.730939,0.611784,0.785398,0.835437
1,1,0.740758,0.62264,0.785398,0.835638
1,1,0.750302,0.633197,0.785398,0.835825
1,1,0.759545,0.643424,0.785398,0.836
1,1,0.771502,0.65666,0.785398,0.836216
1,1,0.780047,0.666122,0.785398,0.836358
1,1,0.785624,0.672299,0.785398,0.836448
1,1,0.793812,0.68137,0.785398,0.836574
1,1,0.799099,0.687227,0.785398,0.836648
1,1,0.811817,0.701323,0.785398,0.836808
1,1,0.821474,0.712028,0.785398,0.836906
1,1,0.826151,0.717214,0.785398,0.836945
1,1,0.833007,0.724817,0.785398,0.836992
1,1,0.841784,0.73455,0.785398,0.837028
1,1,0.850198,0.743881,0.785398,0.837035
1,1,0.8563,0.750648,0.785398,0.837021
1,1,0.866055,0.761465,0.785398,0.836956
1,1,0.87164,0.767658,0.785398,0.836891
1,1,0.877052,0.773657,0.785398,0.836805
1,1,0.882313,0.779488,0.785398,0.836694
1,1,0.889067,0.786972,0.785398,0.836513
1,1,0.895525,0.794125,0.785398,0.836297
1,1,0.900209,0.799311,0.785398,0.836106
1,1,0.906207,0.805948,0.785398,0.835814
1,1,0.911958,0.812309,0.785398,0.835484
1,1,0.917487,0.818419,0.785398,0.835115
2,2,0.921473,0.822821,0.785398,0.834805
2,2,0.939701,0.843073,0.785398,0.842297
2,2,0.991431,0.901425,0.785398,0.840126
2,2,1.03309,0.947336,0.785398,0.828638
2,2,1.06383,0.980643,0.785398,0.821917
2,2,1.10302,1.02257,0.785398,0.816778
2,2,1.14074,1.06258,0.785398,0.813395
2,2,1.16816,1.09154,0.785398,0.811556
