q_diag,r_diag,horizon,tolerance,dt_
0.1,0.1,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
1,1,6.17279e-05,9.63293e-08,0.785398,3.21157e-06
1,1,0.00121678,3.04493e-07,0.785398,3.04326e-06
1,1,0.00699435,3.62259e-07,0.785398,3.09193e-06
1,1,0.0173969,9.93639e-08,0.785398,3.76952e-06
1,1,0.0520779,3.10238e-07,0.785398,3.97912e-06
1,1,0.0902249,1.00999e-07,0.785398,3.82537e-06
1,1,0.138775,1.27052e-07,0.785398,4.64041e-06
1,1,0.196031,0.000140308,0.785398,0.0113778
1,1,0.25677,0.0023933,0.785398,0.07
1,1,0.367749,0.0196241,0.785398,0.249723
1,1,0.415713,0.0342403,0.785398,0.341795
1,1,0.489224,0.0661415,0.785398,0.4748
1,1,0.559155,0.107153,0.785398,0.580949
1,1,0.643496,0.168902,0.785398,0.677643
1,1,0.699559,0.21661,0.785398,0.73089
1,1,0.750211,0.264023,0.785398,0.773373
1,1,0.796047,0.310433,0.785398,0.809458
1,1,0.849413,0.368557,0.785398,0.844919
1,1,0.872948,0.395432,0.785398,0.858084
1,1,0.905538,0.4338,0.785398,0.875156
1,1,0.943874,0.480598,0.785398,0.89359
1,1,0.969398,0.512722,0.785398,0.9051
1,1,0.98484,0.53252,0.785398,0.911769
1,1,1.00613,0.560258,0.785398,0.920726
1,1,1.02556,0.586031,0.785398,0.928769
1,1,1.04352,0.61023,0.785398,0.936155
1,1,1.05415,0.62474,0.785398,0.94046
1,1,1.06426,0.63865,0.785398,0.944602
1,1,1.07862,0.658633,0.785398,0.950512
1,1,1.08716,0.670631,0.785398,0.954096
1,1,1.09116,0.676279,0.785398,0.955755
1,1,1.10287,0.692946,0.785398,0.960739
1,1,1.11621,0.712148,0.785398,0.966589
1,1,1.12803,0.729357,0.785398,0.971921
1,1,1.13612,0.741263,0.785398,0.975681
1,1,1.14331,0.751925,0.785398,0.979013
1,1,1.14992,0.761781,0.785398,0.982057
1,1,1.15592,0.770791,0.785398,0.984717
1,1,1.16125,0.778851,0.785398,0.986898
1,1,1.16626,0.786446,0.785398,0.988712
1,1,1.16778,0.788753,0.785398,0.989187
1,1,1.17352,0.797498,0.785398,0.990513
1,1,1.17845,0.805024,0.785398,0.990732
1,1,1.18179,0.81012,0.785398,0.990133
1,1,1.18579,0.816197,0.785398,0.988211
1,1,1.18843,0.8202,0.785398,0.98597
1,1,1.19084,0.823824,0.785398,0.982824
1,1,1.19299,0.82704,0.785398,0.978837
1,1,1.19485,0.829791,0.785398,0.974113
1,1,1.19654,0.832263,0.785398,0.96848
1,1,1.19753,0.833706,0.785398,0.964289
1,1,1.19886,0.835608,0.785398,0.957292
1,1,1.19996,0.837155,0.785398,0.94963
1,1,1.20058,0.83803,0.785398,0.944095
1,1,1.20133,0.839056,0.785398,0.935066
1,1,1.20191,0.839838,0.785398,0.925548
1,1,1.20222,0.840251,0.785398,0.918872
1,1,1.20241,0.840498,0.785398,0.912202
1,1,1.20255,0.84068,0.785398,0.901872
1,1,1.20256,0.840697,0.785398,0.891077
1,1,1.20241,0.840514,0.785398,0.880129
1,1,1.20207,0.840106,0.785398,0.869283
1,1,1.20178,0.839764,0.785398,0.861977
1,1,1.20098,0.838856,0.785398,0.847652
1,1,1.20026,0.838046,0.785398,0.837118
1,1,1.19912,0.836803,0.785398,0.823534
1,1,1.19785,0.835449,0.785398,0.810568
1,1,1.19643,0.833985,0.785398,0.798342
1,1,1.19487,0.832404,0.785398,0.7873
1,1,1.19366,0.831195,0.785398,0.77961
1,1,1.19242,0.829976,0.785398,0.772525
1,1,1.19116,0.828758,0.785398,0.766003
1,1,1.18947,0.827149,0.785398,0.758268
1,1,1.18821,0.825965,0.785398,0.753153
1,1,1.18656,0.824433,0.785398,0.747399
1,1,1.18538,0.823342,0.785398,0.743929
1,1,1.18385,0.821942,0.785398,0.740042
1,1,1.18243,0.820646,0.785398,0.73718
1,1,1.18112,0.819463,0.785398,0.735417
1,1,1.18022,0.818648,0.785398,0.734637
1,1,1.17939,0.817895,0.785398,0.734311
1,1,1.17835,0.816955,0.785398,0.734447
