q_diag,r_diag,horizon,tolerance,dt_
0.5,0.5,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
1,1,6.17532e-05,2.64791e-07,0.785398,4.87273e-06
1,1,0.0035272,2.52729e-07,0.785398,5.15031e-06
1,1,0.0116172,2.87486e-07,0.785398,5.03399e-06
1,1,0.0416736,1.53481e-07,0.785398,5.49433e-06
1,1,0.0902246,3.91188e-07,0.785398,6.11851e-06
1,1,0.17651,1.80157e-05,0.785398,0.00267046
1,1,0.236085,0.00120967,0.785398,0.0456541
1,1,0.299706,0.00665711,0.785398,0.130671
1,1,0.368128,0.0196057,0.785398,0.247215
1,1,0.440402,0.0433431,0.785398,0.390793
1,1,0.53489,0.0946194,0.785398,0.603684
1,1,0.618439,0.163608,0.785398,0.761208
1,1,0.673302,0.219836,0.785398,0.829789
1,1,0.736359,0.293013,0.785398,0.885273
1,1,0.802164,0.377041,0.785398,0.924877
1,1,0.846876,0.437753,0.785398,0.945862
1,1,0.876392,0.479172,0.785398,0.957324
1,1,0.903183,0.517604,0.785398,0.966705
1,1,0.934079,0.562868,0.785398,0.977113
1,1,0.961176,0.603409,0.785398,0.986123
1,1,0.984592,0.639097,0.785398,0.994356
1,1,1.00017,0.663207,0.785398,1.00014
1,1,1.02326,0.699548,0.785398,1.00969
1,1,1.04145,0.728721,0.785398,1.01724
1,1,1.05493,0.750689,0.785398,1.02429
1,1,1.06383,0.765411,0.785398,1.02952
1,1,1.07179,0.778732,0.785398,1.03456
1,1,1.08125,0.794761,0.785398,1.04112
1,1,1.09157,0.812539,0.785398,1.04921
1,1,1.10021,0.827712,0.785398,1.05685
1,1,1.10477,0.835817,0.785398,1.06128
1,1,1.11148,0.847937,0.785398,1.06841
1,1,1.1139,0.85236,0.785398,1.0712
1,1,1.11827,0.860412,0.785398,1.0765
1,1,1.12215,0.86765,0.785398,1.0814
1,1,1.1263,0.875496,0.785398,1.08673
1,1,1.12851,0.879696,0.785398,1.08945
1,1,1.13114,0.884766,0.785398,1.09234
1,1,1.1335,0.889312,0.785398,1.09432
1,1,1.13556,0.893312,0.785398,1.09502
1,1,1.13697,0.896058,0.785398,1.09468
1,1,1.13866,0.899329,0.785398,1.09283
1,1,1.14045,0.902755,0.785398,1.0876
